BasinID HFR_mean HFR_median HFR_stddev HFR_stderr HFR_Nvalues HFR_range HFR_min HFR_max SA_binned_LH SA_Spline_LH LH_Density Area Basin_Slope_mean Basin_Slope_median Basin_Slope_stddev Basin_Slope_stderr Basin_Slope_Nvalues Basin_Slope_range Basin_Slope_min Basin_Slope_max Basin_elev_mean Basin_elev_median Basin_elev_stddev Basin_elev_stderr Basin_elev_Nvalues Basin_elev_Range Basin_elev_min Basin_elev_max Aspect_mean CHT_mean CHT_median CHT_stddev CHT_stderr CHT_Nvalues CHT_range CHT_min CHT_max EStar RStar HT_Slope_mean HT_Slope_median HT_Slope_stddev HT_Slope_stderr HT_Slope_Nvalues HT_Slope_range HT_Slope_min HT_Slope_max HT_relief_mean HT_relief_median HT_relief_stddev HT_relief_stderr HT_relief_Nvalues HT_relief_range HT_relief_min HT_relief_max
993 141.492 135.002 86.8512 1.88807 2116 511.644 3.5836 515.227 35.5158 34.9518 66.5705 748768 0.514515 0.512772 0.218491 0.00126171 29988 1.47125 0.00762463 1.47887 786.665 761.242 103.864 0.599781 29988 414.9 632.273 1047.17 251.303 -0.043836 -0.0415157 0.0241346 0.000523061 2129 0.137063 -0.137196 -0.000132638 10.3374 0.377955 0.493962 0.45614 0.190098 0.00413257 2116 2.23703 -0.102311 2.13472 64.1733 59.0203 39.4179 0.856911 2116 246.662 -0.557495 246.104
1034 175.206 114.176 167.471 4.27172 1537 625.142 3.53362 628.676 44.7683 43.0199 53.1711 322474 0.339689 0.312065 0.153253 0.00134854 12915 1.11157 0.00837868 1.11995 773.373 758.567 86.4024 0.760288 12915 457.444 564.223 1021.67 136.159 -0.020528 -0.0178237 0.014759 0.00039831 1373 0.103048 -0.103063 -1.50471e-05 5.99441 0.277053 0.333205 0.31904 0.111406 0.00284165 1537 1.40125 -0.0237119 1.37754 58.2498 32.1364 60.6664 1.54743 1537 235.514 -0.178284 235.336
1066 202.299 197.671 123.106 2.00206 3781 605.322 3.55007 608.872 89.0616 92.0151 82.4869 1.27162e+06 0.693196 0.66781 0.288484 0.00127833 50928 2.83194 0.00652959 2.83847 649.456 652.094 188.656 0.835973 50928 804.188 243.09 1047.28 163.296 -0.0389518 -0.0324606 0.0309611 0.000559608 3061 0.234263 -0.234278 -1.45487e-05 13.1332 0.522511 0.617841 0.61726 0.161058 0.00261927 3781 1.40976 -4.69028e-05 1.40971 126.844 120.873 84.6434 1.37654 3781 412.898 -0.000366211 412.898
1118 137.179 121.408 97.9809 1.84215 2829 555.575 3.53792 559.113 28.2912 26.5203 58.3971 878682 0.452859 0.434353 0.163265 0.000870315 35191 1.1584 0.0166889 1.17509 572.313 586.095 130.747 0.696972 35191 603.032 250.297 853.33 202.231 -0.0305606 -0.0282982 0.0184683 0.000369883 2493 0.111343 -0.111449 -0.000105435 6.98713 0.328845 0.435861 0.415675 0.154198 0.0028991 2829 1.42116 0.0236155 1.44478 54.1328 50.4971 35.7051 0.671296 2829 183.359 0.152161 183.511
1207 170.265 156.446 102.119 1.75651 3380 535.14 3.55915 538.699 5.69905 5.71277 72.9052 1.53514e+06 0.436185 0.388605 0.413063 0.00166587 61482 9.47277 4.97735e-05 9.47282 286.305 241.063 147.869 0.596353 61482 680.421 81.8595 762.281 162.132 -0.0239447 -0.0177943 0.0501482 0.00091254 3020 1.57111 -1.57112 -8.98587e-06 6.79492 0.397187 0.443852 0.454311 0.161 0.00276928 3380 1.28469 -0.112313 1.17237 81.1524 67.8287 62.4918 1.07489 3380 314.651 -0.507324 314.143
1222 170.066 138.977 140.508 2.63057 2853 599.767 3.5385 603.305 112.072 116.879 51.1439 720379 0.416306 0.372968 0.203629 0.00119884 28851 1.80396 0.00156094 1.80552 551.074 546.13 137.201 0.807752 28851 647.202 268.948 916.15 126.98 -0.0247637 -0.0198082 0.0208766 0.000430927 2347 0.157263 -0.157287 -2.35327e-05 7.01909 0.339425 0.402743 0.376651 0.155176 0.00290519 2853 1.53945 0.0303559 1.56981 69.2694 49.2017 70.0283 1.31106 2853 339.712 0.21756 339.93
1280 188.528 192.424 131.402 2.92874 2013 547.654 3.54698 551.201 28.3194 27.4609 57.0263 574286 0.655119 0.603189 0.312128 0.00205811 23000 2.40423 0.0438062 2.44803 564.223 554.101 163.298 1.07676 23000 656.776 269.16 925.936 180.606 -0.0317928 -0.0235021 0.0285432 0.000732599 1518 0.22616 -0.22617 -9.87668e-06 9.9897 0.532077 0.594175 0.564295 0.190761 0.00425176 2013 1.52617 0.0992936 1.62546 120.374 103.808 98.3261 2.19153 2013 402.24 0.445221 402.685
1290 163.084 160.651 101.108 1.83621 3032 500.68 3.55458 504.235 35.4876 35.0786 73.0716 1.08101e+06 0.546463 0.545132 0.182351 0.000876382 43294 1.39194 0.00573962 1.39768 508.654 500.054 139.747 0.671627 43294 588.533 243.437 831.969 132.816 -0.0429049 -0.0406331 0.0252482 0.000479378 2774 0.146445 -0.146447 -2.35764e-06 11.6618 0.423024 0.526101 0.521537 0.143396 0.00260419 3032 1.2364 -0.0184288 1.21797 82.786 81.5815 52.8398 0.959615 3032 260.562 -0.0708313 260.492
1305 138.91 134.993 86.8806 1.94758 1990 400.176 3.56468 403.741 17.8505 18.4675 58.5398 793413 0.516146 0.527604 0.210394 0.00118027 31776 1.44378 0.0051959 1.44898 338.514 332.82 149.763 0.840148 31776 613.606 50.2577 663.863 155.438 -0.0478025 -0.0464885 0.0262329 0.000586438 2001 0.167411 -0.167418 -7.5209e-06 11.0671 0.425497 0.546403 0.533154 0.175467 0.00393341 1990 2.09457 0.000350808 2.09492 70.927 69.9845 42.9636 0.963105 1990 204.544 0.00187683 204.546
1333 175.358 159.324 127.534 1.50541 7177 819.104 3.53512 822.639 22.4949 22.2773 60.1674 2.59307e+06 0.41251 0.408228 0.193951 0.000601844 103852 1.30053 5.33489e-05 1.30059 313.508 307.317 202.309 0.627781 103852 740.987 17.7556 758.743 210.641 -0.029154 -0.024681 0.0222731 0.000280392 6310 0.163377 -0.163398 -2.10144e-05 8.52066 0.311792 0.387492 0.376469 0.151812 0.00179199 7177 2.32109 9.54747e-05 2.32118 65.6103 53.4492 50.1745 0.592259 7177 264.066 0.000354767 264.066
